train_loss,epoch,step,val_loss,test_loss
1.0318603515625,0,49,,
0.4625968933105469,0,99,,
0.37091487646102905,0,149,,
0.40205058455467224,0,199,,
0.5500137209892273,0,249,,
0.4611201584339142,0,299,,
0.3168507218360901,0,349,,
0.35379427671432495,0,399,,
0.42196935415267944,0,449,,
0.23533138632774353,0,499,,
0.3690197765827179,0,549,,
0.42095863819122314,0,599,,
0.23749858140945435,0,649,,
0.3146933317184448,0,699,,
0.26583194732666016,0,749,,
,0,781,0.25525975227355957,
0.1648762822151184,1,799,,
0.2486358880996704,1,849,,
0.27817949652671814,1,899,,
0.31510818004608154,1,949,,
0.2560184597969055,1,999,,
0.11720523983240128,1,1049,,
0.22480827569961548,1,1099,,
0.20968562364578247,1,1149,,
0.10604224354028702,1,1199,,
0.14279522001743317,1,1249,,
0.22337660193443298,1,1299,,
0.3487933278083801,1,1349,,
0.1613243967294693,1,1399,,
0.15291456878185272,1,1449,,
0.17611826956272125,1,1499,,
0.08184604346752167,1,1549,,
,1,1563,0.19837014377117157,
0.17717134952545166,2,1599,,
0.16824942827224731,2,1649,,
0.11321693658828735,2,1699,,
0.17832478880882263,2,1749,,
0.13022515177726746,2,1799,,
0.1790419965982437,2,1849,,
0.1612262725830078,2,1899,,
0.20036953687667847,2,1949,,
0.12092511355876923,2,1999,,
0.104311004281044,2,2049,,
0.11435797065496445,2,2099,,
0.1479760855436325,2,2149,,
0.15679243206977844,2,2199,,
0.11852018535137177,2,2249,,
0.05232619121670723,2,2299,,
,2,2345,0.1686805933713913,
,3,2346,0.1686805933713913,
,3,2346,,0.16082048416137695
